neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
33,1,0,2,1.0,1.0,1.0,3,4598.0,5693.0,1,2190.0,3
44,14,2,2,1.5,1.0,2.0,3,7992.0,3500.0,1,2500.0,2
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1
47,16,0,2,1.0,1.0,4.0,3,29997.0,2000.0,1,3000.0,1
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1
25,14,0,5,1.0,2.0,2.0,3,7992.0,5000.0,3,2000.0,2
46,1,0,3,1.0,0.0,1.0,3,12042.0,8500.0,2,2000.0,3
41,14,0,6,1.5,3.0,5.0,3,14998.0,8500.0,6,0.0,2
20,14,2,2,2.0,1.0,2.0,3,2956.0,3000.0,2,0.0,3
45,1,0,4,1.0,2.0,4.0,3,13247.0,0.0,2,2200.0,2
49,14,2,2,1.0,1.0,0.0,3,4489.0,0.0,1,4000.0,1
43,1,0,6,1.0,2.0,3.0,3,21348.0,8758.0,3,3284.0,3
46,16,0,2,1.0,0.0,2.0,3,7554.0,4500.0,2,3000.0,1
44,14,2,3,1.0,1.0,2.0,3,4051.0,3000.0,2,2000.0,1
25,12,1,2,1.0,1.0,1.0,3,5036.0,1500.0,1,1500.0,1
34,24,2,3,2.0,1.0,2.0,3,6897.0,3500.0,1,3800.0,1
29,1,2,1,1.0,1.0,0.0,3,4489.0,3500.0,1,3000.0,1
51,16,0,5,1.0,1.0,5.0,3,14013.0,8000.0,3,2500.0,2
51,1,0,3,0.5,1.0,0.0,3,14013.0,7000.0,3,0.0,2
47,14,2,4,2.0,1.0,4.0,3,4051.0,1000.0,3,2000.0,1
25,12,1,2,1.0,1.0,1.0,3,2518.0,1500.0,1,1100.0,1
29,1,0,5,1.0,1.0,3.0,3,18502.0,5972.0,2,2544.0,1
27,10,0,3,1.0,3.0,3.0,3,9962.0,3000.0,1,0.0,1
25,12,1,2,1.0,1.0,1.0,3,2518.0,1500.0,1,1100.0,1
45,1,0,2,1.0,2.0,2.0,3,8539.0,4500.0,1,1500.0,2
49,1,0,4,1.0,1.0,2.0,3,24961.0,5500.0,2,5000.0,2
25,12,1,4,1.0,1.0,2.0,3,6459.0,3000.0,2,1500.0,1
45,14,0,6,1.5,2.0,4.0,3,21020.0,7000.0,3,4000.0,1
9,14,0,6,1.0,2.0,1.0,3,9853.0,8800.0,2,4000.0,3
46,14,2,2,1.0,1.0,0.0,3,4270.0,3000.0,1,2000.0,1
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,0.0,2
51,1,2,3,1.0,1.0,3.0,3,12042.0,3000.0,2,2500.0,2
51,1,0,3,1.0,1.0,2.0,3,5912.0,5000.0,1,1000.0,1
42,1,2,4,1.0,1.0,4.0,3,6021.0,3000.0,1,6000.0,1
46,14,2,3,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1
45,1,0,4,1.0,1.0,3.0,3,12261.0,0.0,2,2200.0,2
51,1,0,4,1.0,1.0,2.0,3,5912.0,5000.0,1,1000.0,1
45,1,0,2,1.0,1.0,1.0,3,9962.0,5500.0,1,2000.0,2
45,14,0,11,2.0,3.0,8.0,3,24085.0,13137.0,5,2737.0,2
7,1,2,2,1.0,1.0,2.0,3,3832.0,1500.0,1,1800.0,2
7,1,2,2,1.0,1.0,1.0,3,4708.0,1000.0,1,1500.0,2
7,1,2,2,1.0,1.0,2.0,3,4051.0,1500.0,1,1500.0,2
